"orderid","date","product","totalprice"
"ORD200370","2025-05-03","Phone",312.11
"ORD200126","2025-05-03","Desk",1102.00
"ORD200532","2025-05-03","Laptop",82.00
"ORD200219","2025-05-02","Laptop",309.85
"ORD200453","2025-05-02","Tablet",675.57
"ORD200146","2025-04-30","Tablet",822.98
"ORD200796","2025-04-29","Phone",1738.65
"ORD200850","2025-04-27","Monitor",1915.50
"ORD201013","2025-04-26","Laptop",1202.24
"ORD200395","2025-04-25","Phone",382.23
"ORD200647","2025-04-24","Desk",1018.17
"ORD200899","2025-04-23","Printer",646.74
"ORD200282","2025-04-22","Printer",2551.16
"ORD200044","2025-04-21","Phone",1100.36
"ORD200245","2025-04-20","Laptop",223.30
"ORD200471","2025-04-19","Desk",2756.35
"ORD200475","2025-04-19","Tablet",877.24
"ORD200767","2025-04-18","Tablet",646.44
"ORD200658","2025-04-18","Printer",92.72
"ORD200267","2025-04-17","Chair",2342.55
"ORD200939","2025-04-16","Laptop",1042.80
"ORD200216","2025-04-15","Monitor",1984.00
"ORD200774","2025-04-15","Chair",61.62
"ORD200749","2025-04-13","Laptop",518.39
"ORD200099","2025-04-12","Printer",201.58
"ORD200412","2025-04-11","Tablet",665.05
"ORD200401","2025-04-09","Printer",538.68
"ORD200023","2025-04-09","Phone",1093.00
"ORD200564","2025-04-08","Desk",1821.40
"ORD200879","2025-04-08","Phone",1095.34
"ORD200286","2025-04-07","Monitor",418.35
"ORD200172","2025-04-06","Printer",254.12
"ORD200415","2025-04-06","Chair",184.15
"ORD200170","2025-04-04","Desk",2651.76
"ORD200677","2025-04-03","Tablet",110.35
"ORD200008","2025-04-02","Phone",268.56
"ORD200294","2025-04-01","Phone",595.42
"ORD200462","2025-03-31","Phone",252.68
"ORD200705","2025-03-30","Monitor",98.16
"ORD200276","2025-03-29","Printer",1201.14
"ORD200353","2025-03-28","Tablet",630.82
"ORD200229","2025-03-28","Tablet",562.61
"ORD200800","2025-03-28","Tablet",68.39
"ORD200054","2025-03-27","Chair",280.25
"ORD200018","2025-03-26","Desk",431.44
"ORD200825","2025-03-26","Desk",1358.45
"ORD200537","2025-03-23","Tablet",742.41
"ORD201087","2025-03-23","Laptop",2772.28
"ORD200569","2025-03-22","Desk",1253.40
"ORD200924","2025-03-22","Printer",1342.15
"ORD200030","2025-03-22","Monitor",853.40
"ORD200584","2025-03-21","Chair",580.20
"ORD200777","2025-03-21","Chair",322.45
"ORD200182","2025-03-19","Desk",600.54
"ORD200207","2025-03-18","Phone",121.96
"ORD200426","2025-03-16","Monitor",287.25
"ORD201089","2025-03-15","Tablet",1199.48
"ORD201127","2025-03-15","Printer",1808.25
"ORD200822","2025-03-15","Phone",479.56
"ORD200813","2025-03-15","Laptop",1462.70
"ORD201038","2025-03-15","Tablet",1087.59
"ORD200188","2025-03-15","Chair",727.82
"ORD200496","2025-03-14","Printer",603.63
"ORD200833","2025-03-14","Phone",391.45
"ORD200747","2025-03-12","Tablet",519.16
"ORD200693","2025-03-12","Monitor",176.58
"ORD200880","2025-03-12","Laptop",934.80
"ORD200920","2025-03-12","Tablet",856.18
"ORD201162","2025-03-11","Phone",448.74
"ORD200079","2025-03-10","Tablet",623.82
"ORD200826","2025-03-08","Printer",1391.43
"ORD200191","2025-03-08","Laptop",977.74
"ORD200615","2025-03-07","Monitor",2300.70
"ORD201077","2025-03-07","Printer",915.48
"ORD200732","2025-03-07","Laptop",132.05
"ORD200344","2025-03-06","Tablet",1870.02
"ORD200477","2025-03-05","Phone",507.48
"ORD201051","2025-03-05","Monitor",132.15
"ORD200898","2025-03-05","Monitor",475.11
"ORD200166","2025-03-04","Chair",258.87
"ORD200708","2025-03-04","Printer",665.11
"ORD200335","2025-03-03","Tablet",617.58
"ORD200706","2025-03-02","Desk",1140.45
"ORD200482","2025-03-02","Monitor",1144.23
"ORD201139","2025-03-01","Chair",1505.46
"ORD201029","2025-03-01","Desk",87.06
"ORD200661","2025-02-28","Tablet",1274.67
"ORD200283","2025-02-28","Laptop",2161.32
"ORD200984","2025-02-28","Desk",77.64
"ORD200952","2025-02-27","Monitor",1510.17
"ORD200039","2025-02-27","Printer",769.38
"ORD200528","2025-02-26","Chair",628.89
"ORD200549","2025-02-25","Monitor",2519.52
"ORD200089","2025-02-25","Printer",2276.65
"ORD200473","2025-02-25","Chair",29.86
"ORD200746","2025-02-24","Desk",1985.67
"ORD201022","2025-02-24","Tablet",1352.94
"ORD200730","2025-02-22","Phone",474.60
"ORD200157","2025-02-21","Monitor",1129.16
"ORD200523","2025-02-18","Desk",2631.16
"ORD200539","2025-02-18","Desk",1595.16
"ORD200760","2025-02-18","Desk",39.56
"ORD201141","2025-02-16","Chair",1495.98
"ORD201130","2025-02-16","Laptop",646.90
"ORD200351","2025-02-15","Laptop",64.66
"ORD200372","2025-02-14","Chair",1450.59
"ORD200365","2025-02-14","Phone",678.38
"ORD201064","2025-02-12","Laptop",795.24
"ORD200589","2025-02-10","Laptop",1001.60
"ORD200914","2025-02-10","Desk",626.60
"ORD201191","2025-02-10","Desk",1505.72
"ORD200513","2025-02-09","Tablet",284.64
"ORD200175","2025-02-08","Chair",341.70
"ORD200685","2025-02-07","Desk",234.37
"ORD200900","2025-02-07","Laptop",369.15
"ORD200919","2025-02-07","Printer",749.20
"ORD200202","2025-02-06","Monitor",761.94
"ORD200904","2025-02-05","Monitor",949.72
"ORD200697","2025-02-04","Printer",474.25
"ORD201172","2025-02-04","Desk",395.88
"ORD200988","2025-02-04","Desk",1259.12
"ORD200185","2025-02-02","Laptop",210.70
"ORD200063","2025-02-02","Chair",564.86
"ORD200382","2025-01-30","Printer",1052.36
"ORD201061","2025-01-29","Laptop",658.50
"ORD200493","2025-01-28","Phone",420.26
"ORD200114","2025-01-27","Monitor",2492.40
"ORD200609","2025-01-27","Chair",1347.39
"ORD200405","2025-01-26","Monitor",1807.88
"ORD200323","2025-01-26","Laptop",150.17
"ORD200103","2025-01-25","Phone",873.72
"ORD200196","2025-01-24","Desk",868.52
"ORD200741","2025-01-23","Monitor",1663.20
"ORD200199","2025-01-23","Phone",625.00
"ORD200130","2025-01-22","Desk",1503.90
"ORD200097","2025-01-21","Tablet",3097.60
"ORD200203","2025-01-21","Printer",1070.52
"ORD200917","2025-01-20","Laptop",1919.10
"ORD200648","2025-01-18","Monitor",1151.66
"ORD200375","2025-01-16","Monitor",380.12
"ORD200391","2025-01-16","Laptop",1054.92
"ORD200292","2025-01-15","Monitor",65.95
"ORD201043","2025-01-11","Tablet",359.92
"ORD200595","2025-01-10","Printer",770.32
"ORD200168","2025-01-04","Printer",594.96
"ORD200438","2025-01-03","Tablet",1378.02
"ORD200211","2025-01-03","Printer",580.74
"ORD201147","2025-01-02","Chair",1176.60
"ORD200152","2025-01-02","Chair",798.08
"ORD200408","2025-01-01","Printer",1237.59
"ORD200051","2024-12-30","Tablet",388.33
"ORD200108","2024-12-28","Laptop",241.90
"ORD200570","2024-12-27","Desk",724.28
"ORD201097","2024-12-26","Monitor",2532.25
"ORD200329","2024-12-25","Chair",1132.64
"ORD201033","2024-12-24","Monitor",370.85
"ORD201169","2024-12-23","Chair",525.43
"ORD200072","2024-12-22","Tablet",2357.76
"ORD200369","2024-12-22","Monitor",1876.25
"ORD200925","2024-12-20","Monitor",2512.35
"ORD200887","2024-12-19","Chair",514.98
"ORD200613","2024-12-19","Laptop",460.72
"ORD200664","2024-12-19","Laptop",779.00
"ORD200429","2024-12-19","Printer",2060.76
"ORD200320","2024-12-19","Printer",625.51
"ORD200038","2024-12-19","Laptop",245.89
"ORD200153","2024-12-18","Chair",2137.92
"ORD200427","2024-12-18","Desk",161.24
"ORD200930","2024-12-16","Phone",912.08
"ORD201153","2024-12-16","Monitor",2786.84
"ORD200944","2024-12-16","Laptop",852.44
"ORD200510","2024-12-16","Printer",376.76
"ORD200148","2024-12-15","Phone",639.82
"ORD200821","2024-12-14","Laptop",697.96
"ORD200238","2024-12-13","Desk",1537.28
"ORD200239","2024-12-11","Tablet",1616.22
"ORD200830","2024-12-11","Tablet",762.56
"ORD200814","2024-12-11","Chair",590.04
"ORD200588","2024-12-10","Monitor",2311.28
"ORD201042","2024-12-09","Tablet",819.50
"ORD200067","2024-12-09","Printer",48.40
"ORD200035","2024-12-07","Monitor",930.30
"ORD200303","2024-12-07","Tablet",30.54
"ORD200709","2024-12-07","Desk",386.03
"ORD200346","2024-12-06","Tablet",655.09
"ORD200488","2024-12-05","Chair",36.65
"ORD200210","2024-12-05","Chair",1075.44
"ORD200844","2024-12-04","Chair",320.92
"ORD201011","2024-12-03","Phone",956.72
"ORD201012","2024-12-03","Printer",120.20
"ORD201132","2024-12-02","Chair",674.64
"ORD200742","2024-11-30","Laptop",2099.79
"ORD200420","2024-11-29","Phone",452.70
"ORD200454","2024-11-27","Laptop",109.29
"ORD200234","2024-11-26","Printer",945.64
"ORD200137","2024-11-26","Monitor",501.96
"ORD200428","2024-11-26","Chair",1050.32
"ORD200597","2024-11-25","Desk",423.64
"ORD200179","2024-11-24","Laptop",1619.73
"ORD200384","2024-11-24","Chair",1660.71
"ORD201119","2024-11-24","Laptop",684.65
"ORD200691","2024-11-24","Laptop",717.24
"ORD200678","2024-11-24","Chair",489.39
"ORD200983","2024-11-24","Monitor",1185.12
"ORD200571","2024-11-23","Tablet",214.08
"ORD200695","2024-11-23","Printer",506.50
"ORD200795","2024-11-20","Laptop",463.08
"ORD200591","2024-11-18","Laptop",605.28
"ORD200278","2024-11-18","Laptop",1812.30
"ORD200847","2024-11-18","Printer",1736.92
"ORD200021","2024-11-17","Monitor",1371.80
"ORD200722","2024-11-15","Printer",95.10
"ORD200066","2024-11-15","Chair",635.90
"ORD200651","2024-11-12","Chair",1939.02
"ORD200961","2024-11-11","Phone",601.36
"ORD200581","2024-11-11","Laptop",627.34
"ORD200403","2024-11-10","Tablet",620.21
"ORD200586","2024-11-10","Monitor",522.08
"ORD200807","2024-11-10","Monitor",2028.63
"ORD200156","2024-11-08","Chair",539.66
"ORD200125","2024-11-06","Phone",1025.30
"ORD200606","2024-11-06","Laptop",824.25
"ORD200440","2024-11-05","Desk",334.40
"ORD200622","2024-11-02","Desk",1181.90
"ORD200707","2024-11-01","Chair",2600.16
"ORD200478","2024-11-01","Tablet",188.31
"ORD200024","2024-10-30","Laptop",461.90
"ORD200273","2024-10-27","Tablet",476.50
"ORD200889","2024-10-27","Monitor",3253.60
"ORD200659","2024-10-26","Phone",1284.08
"ORD200726","2024-10-25","Laptop",2332.08
"ORD200497","2024-10-24","Printer",336.87
"ORD200105","2024-10-24","Printer",556.20
"ORD200852","2024-10-24","Desk",1704.15
"ORD200954","2024-10-22","Chair",1330.32
"ORD200660","2024-10-19","Chair",1303.14
"ORD200896","2024-10-18","Desk",441.87
"ORD200724","2024-10-18","Printer",410.91
"ORD200304","2024-10-18","Monitor",2043.65
"ORD200616","2024-10-17","Tablet",1804.80
"ORD200929","2024-10-16","Tablet",1072.50
"ORD200805","2024-10-15","Laptop",2360.05
"ORD200012","2024-10-15","Monitor",361.00
"ORD200037","2024-10-14","Laptop",153.48
"ORD201073","2024-10-11","Tablet",1448.24
"ORD200578","2024-10-10","Monitor",2830.35
"ORD200087","2024-10-10","Tablet",675.33
"ORD201091","2024-10-08","Laptop",628.44
"ORD200208","2024-10-08","Desk",816.64
"ORD201046","2024-10-07","Tablet",1641.45
"ORD200823","2024-10-07","Laptop",2612.52
"ORD200460","2024-10-06","Laptop",144.25
"ORD200431","2024-10-06","Printer",52.54
"ORD201173","2024-10-04","Monitor",208.36
"ORD200603","2024-10-04","Tablet",657.07
"ORD200752","2024-10-03","Phone",1717.48
"ORD201146","2024-10-03","Monitor",2107.20
"ORD200743","2024-09-30","Monitor",576.35
"ORD200567","2024-09-30","Chair",2464.70
"ORD200637","2024-09-29","Chair",1225.40
"ORD200727","2024-09-29","Chair",478.75
"ORD200819","2024-09-28","Phone",796.90
"ORD200400","2024-09-28","Desk",640.88
"ORD200512","2024-09-27","Desk",1704.06
"ORD200700","2024-09-25","Laptop",185.82
"ORD201057","2024-09-24","Laptop",1286.64
"ORD201023","2024-09-23","Laptop",1168.35
"ORD200341","2024-09-23","Tablet",167.15
"ORD200684","2024-09-22","Printer",139.36
"ORD201059","2024-09-22","Desk",265.64
"ORD200379","2024-09-21","Phone",893.01
"ORD200029","2024-09-20","Desk",1270.59
"ORD201045","2024-09-20","Laptop",1582.00
"ORD200252","2024-09-20","Phone",2673.44
"ORD201099","2024-09-19","Laptop",250.46
"ORD200841","2024-09-19","Printer",886.44
"ORD200762","2024-09-17","Phone",230.88
"ORD200374","2024-09-16","Monitor",571.90
"ORD201053","2024-09-15","Phone",993.24
"ORD200165","2024-09-14","Monitor",1000.58
"ORD200790","2024-09-14","Laptop",1671.56
"ORD200059","2024-09-11","Chair",2373.08
"ORD200223","2024-09-11","Phone",2771.64
"ORD201175","2024-09-10","Printer",275.22
"ORD201048","2024-09-09","Monitor",294.60
"ORD200277","2024-09-09","Chair",454.60
"ORD200085","2024-09-09","Tablet",440.19
"ORD200439","2024-09-08","Tablet",146.32
"ORD201178","2024-09-08","Monitor",70.24
"ORD200052","2024-09-08","Tablet",586.44
"ORD200970","2024-09-07","Desk",627.15
"ORD200986","2024-09-07","Laptop",2579.84
"ORD200962","2024-09-06","Phone",284.16
"ORD200982","2024-09-06","Monitor",304.11
"ORD201070","2024-09-06","Desk",1965.16
"ORD200398","2024-09-04","Phone",269.65
"ORD201160","2024-09-04","Desk",541.64
"ORD200897","2024-09-03","Laptop",1925.92
"ORD200618","2024-09-03","Tablet",411.34
"ORD200906","2024-09-03","Monitor",62.12
"ORD200300","2024-09-02","Phone",287.46
"ORD200181","2024-08-31","Printer",2021.95
"ORD200190","2024-08-31","Printer",671.10
"ORD200666","2024-08-31","Monitor",1308.48
"ORD200631","2024-08-31","Chair",138.33
"ORD201075","2024-08-31","Monitor",1105.26
"ORD200246","2024-08-30","Desk",684.22
"ORD200467","2024-08-30","Desk",45.94
"ORD200859","2024-08-28","Chair",1306.65
"ORD200992","2024-08-27","Printer",1758.63
"ORD200643","2024-08-26","Laptop",438.37
"ORD200449","2024-08-26","Tablet",759.15
"ORD201017","2024-08-25","Chair",1361.70
"ORD200233","2024-08-24","Phone",933.99
"ORD200001","2024-08-23","Phone",302.70
"ORD201142","2024-08-23","Phone",2780.40
"ORD201198","2024-08-22","Chair",1050.08
"ORD200214","2024-08-21","Desk",1222.88
"ORD200060","2024-08-21","Desk",417.10
"ORD200527","2024-08-19","Chair",3267.35
"ORD201189","2024-08-17","Tablet",1946.10
"ORD200911","2024-08-13","Desk",1984.30
"ORD200782","2024-08-11","Monitor",987.26
"ORD200675","2024-08-06","Desk",1026.06
"ORD200078","2024-08-06","Printer",701.44
"ORD200907","2024-08-04","Desk",1491.95
"ORD200815","2024-08-04","Printer",1709.52
"ORD200264","2024-08-03","Tablet",436.77
"ORD201068","2024-08-03","Laptop",133.39
"ORD200104","2024-07-30","Phone",582.04
"ORD201137","2024-07-29","Printer",1640.84
"ORD200728","2024-07-29","Desk",1303.04
"ORD200772","2024-07-28","Monitor",604.87
"ORD200124","2024-07-28","Printer",1135.16
"ORD200318","2024-07-27","Chair",446.16
"ORD200866","2024-07-26","Desk",946.25
"ORD200715","2024-07-26","Printer",1960.89
"ORD200877","2024-07-25","Tablet",524.06
"ORD201104","2024-07-25","Tablet",1259.04
"ORD201149","2024-07-25","Chair",1390.58
"ORD200608","2024-07-24","Laptop",2715.80
"ORD200828","2024-07-24","Chair",1618.32
"ORD200535","2024-07-24","Monitor",204.36
"ORD200459","2024-07-24","Desk",334.39
"ORD200025","2024-07-24","Monitor",399.98
"ORD200888","2024-07-23","Laptop",533.90
"ORD200490","2024-07-22","Chair",2339.05
"ORD200951","2024-07-22","Printer",612.48
"ORD200710","2024-07-22","Laptop",107.70
"ORD201126","2024-07-22","Phone",950.55
"ORD200377","2024-07-22","Monitor",260.26
"ORD200423","2024-07-20","Printer",2740.80
"ORD200985","2024-07-20","Desk",243.71
"ORD200740","2024-07-20","Desk",754.94
"ORD201049","2024-07-18","Desk",1959.30
"ORD200530","2024-07-18","Chair",357.64
"ORD201131","2024-07-18","Phone",694.50
"ORD200558","2024-07-16","Phone",2512.48
"ORD200619","2024-07-16","Laptop",532.89
"ORD200748","2024-07-15","Tablet",212.43
"ORD200393","2024-07-14","Printer",75.01
"ORD200902","2024-07-13","Monitor",721.00
"ORD200690","2024-07-12","Monitor",24.48
"ORD201083","2024-07-09","Chair",123.28
"ORD201185","2024-07-08","Chair",343.31
"ORD200668","2024-07-05","Monitor",507.34
"ORD200711","2024-07-04","Tablet",951.56
"ORD200846","2024-07-04","Desk",719.72
"ORD200332","2024-07-03","Desk",625.10
"ORD200458","2024-07-02","Monitor",2042.32
"ORD200531","2024-07-02","Desk",1600.05
"ORD200326","2024-07-01","Laptop",3352.40
"ORD200641","2024-06-30","Printer",2270.28
"ORD200868","2024-06-29","Monitor",1265.28
"ORD200361","2024-06-29","Printer",3299.25
"ORD200735","2024-06-28","Monitor",176.28
"ORD200994","2024-06-27","Tablet",2462.60
"ORD200756","2024-06-27","Phone",283.69
"ORD200387","2024-06-27","Printer",79.06
"ORD200046","2024-06-26","Monitor",2200.56
"ORD200978","2024-06-25","Printer",429.96
"ORD201148","2024-06-25","Phone",355.15
"ORD201140","2024-06-24","Printer",1105.66
"ORD200701","2024-06-23","Monitor",276.66
"ORD200916","2024-06-21","Printer",2894.15
"ORD200948","2024-06-21","Phone",1188.14
"ORD201195","2024-06-20","Desk",107.04
"ORD201079","2024-06-20","Phone",3170.00
"ORD200086","2024-06-19","Printer",3215.15
"ORD200296","2024-06-19","Desk",3194.00
"ORD200411","2024-06-19","Desk",79.02
"ORD201063","2024-06-19","Desk",641.36
"ORD200922","2024-06-17","Desk",1127.64
"ORD201034","2024-06-16","Printer",2071.92
"ORD200610","2024-06-16","Desk",1948.10
"ORD200322","2024-06-14","Phone",1159.10
"ORD201056","2024-06-14","Phone",972.70
"ORD200739","2024-06-13","Phone",1546.92
"ORD200324","2024-06-13","Tablet",212.79
"ORD200716","2024-06-13","Chair",1362.87
"ORD200143","2024-06-13","Chair",1600.28
"ORD200744","2024-06-12","Tablet",922.74
"ORD200771","2024-06-12","Phone",2077.32
"ORD200198","2024-06-11","Laptop",1361.20
"ORD201163","2024-06-11","Laptop",918.87
"ORD200092","2024-06-10","Printer",194.44
"ORD200702","2024-06-09","Printer",1687.65
"ORD200536","2024-06-09","Chair",616.10
"ORD200972","2024-06-09","Laptop",90.27
"ORD200876","2024-06-09","Chair",3044.55
"ORD200194","2024-06-08","Monitor",249.57
"ORD200266","2024-06-08","Chair",2332.28
"ORD200444","2024-06-08","Printer",135.17
"ORD201134","2024-06-08","Desk",153.12
"ORD200461","2024-06-08","Tablet",401.82
"ORD200731","2024-06-07","Printer",2922.30
"ORD200306","2024-06-07","Printer",114.14
"ORD200360","2024-06-06","Phone",2358.28
"ORD200534","2024-06-06","Chair",1945.77
"ORD200652","2024-06-05","Chair",1709.20
"ORD200892","2024-06-04","Desk",394.53
"ORD201102","2024-06-03","Chair",1388.68
"ORD200856","2024-06-03","Phone",586.62
"ORD200330","2024-06-02","Desk",1302.65
"ORD200096","2024-06-01","Phone",465.66
"ORD200910","2024-05-31","Printer",926.94
"ORD201036","2024-05-31","Phone",1241.49
"ORD200950","2024-05-31","Laptop",596.24
"ORD201157","2024-05-29","Monitor",904.65
"ORD200484","2024-05-29","Chair",60.04
"ORD200576","2024-05-29","Laptop",395.40
"ORD200971","2024-05-27","Monitor",1210.52
"ORD200909","2024-05-27","Tablet",583.70
"ORD201006","2024-05-27","Tablet",2104.90
"ORD200867","2024-05-26","Printer",570.32
"ORD200538","2024-05-24","Phone",1472.22
"ORD200077","2024-05-24","Phone",583.18
"ORD200363","2024-05-24","Laptop",569.35
"ORD201118","2024-05-24","Phone",754.44
"ORD201027","2024-05-21","Laptop",2219.32
"ORD200863","2024-05-20","Phone",14.06
"ORD201117","2024-05-20","Chair",1765.32
"ORD200217","2024-05-20","Desk",1286.04
"ORD200053","2024-05-18","Phone",1955.12
"ORD200871","2024-05-16","Tablet",972.90
"ORD200158","2024-05-16","Tablet",331.06
"ORD200884","2024-05-15","Chair",595.54
"ORD200443","2024-05-14","Chair",139.28
"ORD200255","2024-05-13","Monitor",263.96
"ORD200873","2024-05-12","Desk",410.52
"ORD200291","2024-05-12","Phone",690.02
"ORD201074","2024-05-10","Phone",222.73
"ORD200605","2024-05-10","Monitor",457.82
"ORD200928","2024-05-09","Laptop",741.33
"ORD200991","2024-05-09","Desk",635.90
"ORD201060","2024-05-07","Tablet",546.86
"ORD200042","2024-05-06","Printer",303.32
"ORD200442","2024-05-06","Chair",1574.70
"ORD200946","2024-05-04","Phone",809.92
"ORD200642","2024-04-29","Chair",426.10
"ORD200996","2024-04-28","Monitor",1895.44
"ORD200901","2024-04-28","Tablet",458.63
"ORD200136","2024-04-27","Laptop",44.35
"ORD200598","2024-04-26","Desk",2476.75
"ORD200634","2024-04-25","Printer",518.64
"ORD200367","2024-04-25","Laptop",3293.85
"ORD200753","2024-04-24","Phone",482.98
"ORD200592","2024-04-23","Phone",612.81
"ORD200257","2024-04-23","Phone",406.22
"ORD201095","2024-04-23","Phone",883.08
"ORD200195","2024-04-22","Chair",1857.63
"ORD201020","2024-04-22","Tablet",53.00
"ORD200110","2024-04-21","Tablet",220.77
"ORD200380","2024-04-20","Printer",1327.60
"ORD200522","2024-04-20","Chair",515.32
"ORD200566","2024-04-18","Phone",650.84
"ORD200437","2024-04-18","Phone",512.39
"ORD200183","2024-04-18","Monitor",931.40
"ORD200670","2024-04-18","Desk",2156.80
"ORD200419","2024-04-17","Tablet",433.32
"ORD200206","2024-04-16","Laptop",916.40
"ORD200333","2024-04-16","Phone",198.51
"ORD200174","2024-04-16","Printer",2403.24
"ORD200122","2024-04-15","Laptop",1066.04
"ORD200559","2024-04-15","Desk",472.20
"ORD200663","2024-04-15","Monitor",72.60
"ORD200793","2024-04-15","Chair",851.10
"ORD200959","2024-04-13","Tablet",287.64
"ORD200956","2024-04-11","Phone",321.96
"ORD200834","2024-04-11","Printer",110.70
"ORD200178","2024-04-11","Chair",2048.24
"ORD200838","2024-04-11","Desk",2308.32
"ORD200633","2024-04-10","Laptop",3008.60
"ORD200339","2024-04-10","Printer",472.66
"ORD200809","2024-04-09","Desk",1087.15
"ORD201133","2024-04-09","Printer",935.82
"ORD200517","2024-04-09","Tablet",793.40
"ORD201109","2024-04-08","Printer",309.88
"ORD200500","2024-04-07","Laptop",2542.95
"ORD200169","2024-04-07","Printer",427.82
"ORD200358","2024-04-07","Tablet",367.34
"ORD200885","2024-04-07","Laptop",2062.36
"ORD200516","2024-04-07","Monitor",500.97
"ORD200447","2024-04-07","Printer",833.62
"ORD200529","2024-04-07","Tablet",1350.20
"ORD200993","2024-04-06","Monitor",802.35
"ORD201019","2024-04-06","Desk",277.09
"ORD200976","2024-04-04","Tablet",1767.90
"ORD200184","2024-04-04","Tablet",858.16
"ORD200780","2024-03-31","Laptop",737.92
"ORD200076","2024-03-31","Laptop",1531.52
"ORD200161","2024-03-29","Monitor",211.14
"ORD200620","2024-03-27","Tablet",409.02
"ORD200455","2024-03-26","Phone",639.83
"ORD200835","2024-03-26","Desk",679.65
"ORD200334","2024-03-26","Chair",899.00
"ORD200173","2024-03-24","Phone",1993.38
"ORD200061","2024-03-24","Desk",488.80
"ORD200253","2024-03-23","Chair",1654.96
"ORD200445","2024-03-23","Phone",487.21
"ORD200926","2024-03-20","Desk",26.95
"ORD201007","2024-03-20","Monitor",146.52
"ORD200721","2024-03-18","Desk",237.18
"ORD200787","2024-03-17","Desk",887.84
"ORD200869","2024-03-17","Desk",1067.90
"ORD200511","2024-03-15","Monitor",2876.20
"ORD200237","2024-03-14","Monitor",1751.16
"ORD201187","2024-03-13","Desk",369.20
"ORD200225","2024-03-13","Phone",821.88
"ORD200348","2024-03-13","Laptop",1079.19
"ORD200832","2024-03-12","Chair",2428.55
